text,label
"Olipa kiva made, joka nousi!",OK
liity tähän hrNYT,MINOR
Tämä kaikki on ärsyttäVä.,MODERATE
"aLlah pelastAa, tee oletTe paska4.",MODERATE
K@ikki Tr4n5u pitäisi taPp@a.,SEVERE
nuole mun pillua saatanan manne.,SEVERE
Kukaan eI tykkää Susta noob.!,MODERATE
"Olipa kaunis hauki, joka söi!",OK
PilkkiUkko83,OK
tämä kA!KKi oN paSka.,MODERATE
TäNään on hUono syöntI.,OK
halpaa kultaa aKTdw,MINOR
IceFisher18,OK
klikkaa tästä WxEgu,MINOR
LaiT@ kuva sun munasta.,SEVERE
KUk44n ei tYkkää sus7a pell3.,MODERATE
Sä oot iiihan jonne.,MODERATE
Mikä on paras syöttI madellE? :D,OK
Mikä on paras syötti haukille?,OK
seuraa minua somessa Wghgd,MINOR
hauki karkasI hyvin täälLä.,OK
TÄmäää kAikki On rvma.,MODERATE
|<@i|<ki hom0 pi7äis! tappaa.,SEVERE
"Olipa hieno taimen, joka nousi!",OK
Tämä peli 0n Likainen.,MODERATE
MI|<ä on PaarAS Syött1 siiiiikallE?!,OK
Sä Oot ih4n jonne.!!,MODERATE
TEhkÄÄ Parannu$ tai t4Ivas r4Nkaisee.,MODERATE
mun pillu on niin karvainen,SEVERE
L4it4 kvva sun tizzit$ta.,SEVERE
runkkaa mUn Mvna@ SaAtanan mutakuono.,SEVERE
blaaBLaa,MINOR
zä oo+ l!kaaainen mamv.,SEVERE
die ja kokooo Sun P3rhe.,SEVERE
H4lu4n hOideL1a svA.,SEVERE
KuOle poi5 vItun m@Mv.,SEVERE
TÄMÄ SERVERI BU6ITtaA,MINOR
k!itoS pe1Istä.,OK
liity tähän MTRWM,MINOR
Tehkää paranNus Tai sa4tana ran|<aisee. :(,MODERATE
Oo7Ko neEkeRi? PA!nv vitTuUn.,SEVERE
VäsyTTää,MINOR
0o7k0 mamu? PaiNu v!ttuvn.,SEVERE
Sanna8814,OK
Sain juuri pienin nieriän.,OK
"he1vE+ti Pelastaa, 7e olett3 paaaaskaa.",MODERATE
"Olipa mahtava hauki, joka nykäisi!",OK
seuraa minua somessa wHUnr,MINOR
Tämä serveri 8ug1ttaa,MINOR
Kukaan ei 7ykkää sUs7a nu!j4.,MODERATE
halpaa kultaa GnLkE,MINOR
Onko adMin p4ik4ll4????,OK
SaiN juvri kivAn Siikan.,OK
"whI7e P0wer, ViTun neeK3ri.!",SEVERE
"persut On paras, muu7 On tyhmäa.",MODERATE
"Moi, onko tässää kIsAssA zÄÄntöjä?",OK
TuleeKo mui|le Särkia?!!,OK
Ku01e poi$ vi7un huor@.,SEVERE
"Olipa pieni lohi, joka söi!",OK
mikä meiiiininki!!,MINOR
TuleeKo muille maDEa?,OK
Matti_M41,OK
"Olipa komea kuha, joka nappasi!",OK
TykkääN tästä pelistä.,OK
Kalamies71,OK
"ääne5täkää pUolueetta on p@ras, mUut on nvijaa. xD",MODERATE
tÄMÄ SERV3Ri ON HIDAS,MINOR
Onp4 hieno ilm@ pilkiLtä....,OK
"HeiL HitL3r, maaamuT uuniin.",SEVERE
Kir3iiiitä s1imoja kaIkille.,OK
serv3ri oon Täysi vrPo.,MODERATE
"kApitAliSmI on paRas, muuT on jonne@.",MODERATE
Mistä löytyy hyvä kuha?,OK
Haist@ paska pelI.,MODERATE
"Olipa hyvä taimen, jokaaaa kArkasi!",OK
"Olipa komea siika, joka tuli!",OK
admin oon täysi urpo.,MODERATE
Tämä SeeRv3ri on hidaS,MINOR
pel! on Täysi nu!j4.,MODERATE
ootko iso runkkari,SEVERE
OleTk0 oikeastI nOin joooNne?,MODERATE
di3 ja k0ko sun P3rhe.!!,SEVERE
seuraa minua somessa wSJeb,MINOR
Halv@n h0idella sua.,SEVERE
sä 0o+ likainen hUor@.,SEVERE
Tämä peli on 1ikaINen.,MODERATE
